Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
4/5/2018,3119200,24460900,3742400,35.26515961,32.58488464,32.87351608
4/6/2018,4071100,21146300,4298700,35.3270874,32.07417297,32.93861008
4/9/2018,3248200,19409200,4310400,35.64559555,32.33865356,33.38498688
4/10/2018,3654600,19608400,6668300,36.2560463,32.78551865,34.11963654
4/11/2018,2984600,13168800,5384400,35.89331436,32.63960648,33.88715363
4/12/2018,2695800,22597700,3596700,35.93754959,33.12295151,33.81275558
4/13/2018,1690500,16863700,3158000,35.90216064,33.12295151,33.77555847
4/16/2018,1751800,15116100,4385000,35.8048439,33.31446457,33.24549484
4/17/2018,2382800,16770000,3080400,35.84022903,33.13207245,33.34778595
4/18/2018,3419600,13901800,2801100,35.77829742,33.27798462,33.45937729
4/19/2018,3212100,15784300,9807000,35.28285217,33.31446457,32.92001343
4/20/2018,2924200,21225800,2488500,35.3890152,33.40566635,32.86421204
4/23/2018,3387800,24080700,2833400,35.68098068,33.56069565,33.03160858
4/24/2018,4041500,25717600,3621800,35.95524216,33.79781342,32.65962982
4/25/2018,5918500,26309500,3351200,34.61045837,33.45126343,32.81771851
4/26/2018,3967200,19360200,2841200,35.56595993,33.60629272,32.82702255
4/27/2018,4842500,13686100,3070800,35.88446808,33.7430954,33.09670258
4/30/2018,2382000,26846100,3082800,35.48634338,33.38742828,33.04090118
5/1/2018,2332100,48651000,6419000,35.42441177,32.28393936,33.60816956
5/2/2018,2581600,28036300,5403400,34.95550537,31.81882477,33.05020523
5/3/2018,2074900,22313000,4985100,35.03512955,31.70026588,33.31058884
5/4/2018,1732900,18781700,5477500,35.22976685,31.77322197,33.08739853
5/7/2018,2009100,20474400,3168700,35.25630569,31.855299,33.45007706
5/8/2018,2394100,26821300,4682700,35.04397964,31.90090179,33.16180038
5/9/2018,2590700,19383500,3930900,35.58366013,32.07417297,33.62677383
5/10/2018,1828900,29323200,2629600,35.76575851,32.26756287,33.4872818
5/11/2018,2416500,20512300,3441000,35.86431503,32.69116592,33.84995651
5/14/2018,1889700,20384300,3362400,35.87327576,33.022686,33.86855316
5/15/2018,1751600,18354500,4401400,35.59553146,32.86613464,33.70116806
5/16/2018,2168300,20750200,3442400,35.72992325,32.85692215,33.94294739
5/17/2018,1835100,12354300,5134500,35.92702103,32.884552,33.88715363
5/18/2018,3125900,14928500,5758500,35.86431503,32.82009125,33.7848587
5/21/2018,1648600,16890800,8240800,35.88222885,32.9674263,34.21263885
5/22/2018,3240700,13735600,7644100,36.13309097,32.89376831,34.454422
5/23/2018,2776300,19315600,4918300,35.99870682,33.12397385,34.25912857
5/24/2018,2142300,16625300,3520200,35.86431503,33.05030441,34.29633331
5/25/2018,1878700,14236600,5445200,35.70303726,32.85692215,34.44512177
5/29/2018,2137500,26735900,2745100,35.64929199,32.87534332,33.83135986
5/30/2018,2448900,27603200,2470700,36.43770981,33.19765091,34.27772903
5/31/2018,3069700,29342000,5900300,36.30331802,33.08715057,34.43582153
6/1/2018,1437600,21200200,2730500,36.50938797,33.38182068,34.23123169
6/4/2018,1640300,18041100,2193400,36.46459198,33.56600571,34.17543793
6/5/2018,1943800,20375800,1537100,36.25853348,33.5567894,33.91505051
6/6/2018,1902000,18375800,2738500,36.4287529,33.50154114,34.04524612
6/7/2018,1454800,16208100,2039900,36.49147415,33.60284042,33.81275558
6/8/2018,1783200,15610800,2640200,36.75129318,33.76859283,33.86855316
6/11/2018,1597900,18506300,1601700,36.90359497,33.4278717,33.82205963
6/12/2018,2054400,15533100,2377700,36.91255569,33.4278717,33.62677383
6/13/2018,1834500,15208000,2476500,36.85879898,33.35419846,33.64537048
6/14/2018,3505000,18936800,2870600,37.57555008,33.2989502,33.92434692
6/15/2018,2436600,46638500,2072000,37.12757874,33.48311996,33.85925674
6/18/2018,1574000,22906500,1900700,36.97528076,33.2989502,33.57096863
6/19/2018,1663600,17537600,1991800,36.76921463,33.35419846,33.42218399
6/20/2018,2339500,20260200,1731600,36.76025009,33.57521057,33.59887314
